,Chords,Notes,Degrees
0,C7,"['do', 'mi', 'sol', 'las']","[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]"
1,Cmaj7,"['do', 'mi', 'sol', 'si']","[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]"
2,C9,"['do', 'mi', 'sol', 'las', 're']","[1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0]"
3,Cmaj9,"['do', 'mi', 'sol', 'si', 're']","[1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]"
4,Cmajs9,"['do', 'mi', 'sol', 'si', 'res']","[1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1]"
5,Cb9,"['do', 'mi', 'sol', 'las', 'dos']","[1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]"
6,Cb79,"['do', 'mi', 'sol', 'la', 're']","[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0]"
7,Cb7b9,"['do', 'mi', 'sol', 'la', 'dos']","[1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]"
8,C7b9,"['do', 'mi', 'sol', 'las', 'dos']","[1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]"
9,C7sus2,"['do', 'mi', 'sol', 'do', 're', 'sol', 'las']","[1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0]"
10,Cmaj7sus2,"['do', 'mi', 'sol', 'do', 're', 'sol', 'si']","[1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]"
11,C7sus4,"['do', 'mi', 'sol', 'do', 'mis', 'sol', 'las']","[1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0]"
12,Cmaj7sus4,"['do', 'mi', 'sol', 'do', 'mis', 'sol', 'si']","[1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1]"
13,Cadd9,"['do', 'mi', 'sol', 're']","[1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
14,Cadd11,"['do', 'mi', 'sol', 'mis']","[1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]"
15,Cadd13,"['do', 'mi', 'sol', 'la']","[1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]"
16,C11s,"['do', 'mi', 'sol', 'las', 're', 'fas']","[1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0]"
17,C11b9,"['do', 'mi', 'sol', 'las', 'dos', 'mis']","[1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0]"
18,Cmajs911s,"['do', 'mi', 'sol', 'si', 'res', 'fas']","[1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1]"
19,Cb711b9,"['do', 'mi', 'sol', 'la', 'dos', 'mis']","[1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]"
20,Cmaj11,"['do', 'mi', 'sol', 'si', 're', 'mis']","[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1]"
21,Cmaj911s,"['do', 'mi', 'sol', 'si', 're', 'fas']","[1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1]"
22,C11,"['do', 'mi', 'sol', 'las', 're', 'mis']","[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0]"
23,Cb11b9,"['do', 'mi', 'sol', 'las', 'dos', 'mi']","[1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]"
24,C13b11b9b,"['do', 'mi', 'sol', 'las', 'dos', 'mi', 'sols']","[1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0]"
25,C13b9,"['do', 'mi', 'sol', 'las', 'dos', 'mis', 'la']","[1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0]"
26,C1311s,"['do', 'mi', 'sol', 'las', 're', 'fas', 'la']","[1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0]"
27,C13b,"['do', 'mi', 'sol', 'las', 're', 'mis', 'sols']","[1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0]"
28,Cmaj13b,"['do', 'mi', 'sol', 'si', 're', 'mis', 'sols']","[1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1]"
29,C13bb9,"['do', 'mi', 'sol', 'las', 'dos', 'mis', 'sols']","[1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0]"
30,Cmaj13s911s,"['do', 'mi', 'sol', 'si', 'res', 'fas', 'la']","[1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1]"
31,Cb713b9,"['do', 'mi', 'sol', 'la', 'dos', 'mis', 'sols']","[1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0]"
32,Cmaj13,"['do', 'mi', 'sol', 'si', 're', 'mis', 'la']","[1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1]"
33,Cmaj1311s,"['do', 'mi', 'sol', 'si', 're', 'fas', 'la']","[1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1]"
34,C13,"['do', 'mi', 'sol', 'las', 're', 'mis', 'la']","[1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0]"
