,real_chord,predicted_chord,inp_len
0,G,G,101
1,B,A,25
2,B,B,21
3,Fmin,F,62
4,Bbmin,Gb,31
5,F,F,5
6,Abmaj7,Ebmin7,55
7,C,C,96
8,D/Fs,D/Fs,27
9,G,G,71
10,C,C,7
11,G,F,31
12,D,Cs7,29
13,G,G,54
14,G,Emin,68
15,D,D,73
16,A,A,7
17,Db,Db,100
18,A,Bmin,48
19,Emin,C,60
20,Csmin7,Csmin7,16
21,G,G,49
22,E,D,23
23,F,F,14
24,C,C,26
25,E,E,14
26,G,Amin,29
27,Eb,Bb,30
28,D,Gmin,36
29,Amin,Amin,24
30,D9,D9,51
31,C,C,45
32,A,A,27
33,Bmin,Cs,69
34,G,F,34
35,As,Cs,38
36,G7,G7,25
37,G,G,18
38,D,D,39
39,G,G,89
40,Eadd11,Csmin7,30
41,Gmin,C,7
42,Amin,F,4
43,D,A,47
44,F,C,48
45,Amin,Amin,7
46,Cmin,C7,23
47,C,C,42
48,Cadd9,Cadd9,22
49,C,C,7
50,Amin,Amin,21
51,Fmin,Fmin,25
52,Bb,Cmin,4
53,Csmin7,Csmin7,57
54,Dsmin,Dsmin,62
55,G,G,20
56,E,A,21
57,C,C,41
58,E,Fsmin,23
59,C,C,14
60,G,G,13
61,Dmin,Dmin,20
62,Db,Ab,23
63,C,C,94
64,A,C,69
65,G,G,71
66,E,B,22
67,Amin,G,55
68,A,E,40
69,Amin,Amin,37
70,Emin,C,53
71,C,C,14
72,Emin7,Cmaj7,39
73,G,C,71
74,C,C,63
75,Fsmin,Fsmin,9
76,C,G,18
77,A,A,15
78,F,F,58
79,G,G,5
80,A,A,14
81,F,F,95
82,Emin,Emin,24
83,C,C,24
84,Emin,G,10
85,A,A,6
86,D,D,9
87,Bb,F,13
88,C,C,67
89,D,D,48
90,Bb,C,36
91,Amin,Amin,55
92,Cadd9,Cadd9,69
93,Csmin,E,33
94,A,A,8
95,Cs7,D,45
96,F,F,48
97,F,F,111
98,Ab,Fmin,50
99,Ab7,B,35
100,Gmin,Gmin,18
101,Fsmin,Fsmin,112
102,Amin,Amin,14
103,E,E,40
104,G,G,53
105,Eno3d,Eno3d,26
106,G,G,13
107,A,A,33
108,D,D,15
109,Amin,Amin,24
110,G,G,26
111,C,C,52
112,C,C,82
113,B,B,77
114,A,A,30
115,Emin,D,36
116,C/E,F,29
117,E,E,115
118,G,G,23
119,D,D,23
120,G,G,23
121,Bmin7,Bmin7,35
122,F,F,23
123,G,F,21
124,B,A,38
125,C,Gmin,6
126,D7,G,27
127,D,E,19
128,Fs,A,8
129,Bb,Bb,35
130,Cadd13,G,31
131,G,G,26
132,B/Ds,Fs,30
133,F,F,19
134,F,C,14
135,D,Emin7,10
136,D,D,55
137,D,E,40
138,G,G,40
139,E,A,5
140,Emin7,D7,30
141,Bmin,Bmin,54
142,F,F,4
143,C,C,36
144,E,E,11
145,F,F,33
146,Fmaj7/G,Fmaj7,53
147,C,D,30
148,Dmin,Dmin,44
149,F,F,19
150,G,G,61
151,Emin,Emin,51
152,C,F,4
153,B,Ds,55
154,G,G,14
155,E,E,33
156,G,G,13
157,C,C,32
158,G,G,61
159,Dmin7,F,86
160,Amin,Amin,12
161,Cadd9,Cadd9,25
162,D,D,47
163,D,C,9
164,A,A,38
165,Gsmin,Gsmin,66
166,A,A,107
167,Gno3d,F,60
168,E7,G,28
169,G,G,66
170,A,D,26
171,A,Dno3d,61
172,B,E,25
173,G,Fmaj7,56
174,G,Emin,49
175,Fs,Fs,38
176,G7,G7,46
177,Dmin,Dmin,10
178,Fsmin,Fsmin,54
179,Emin,Gmaj7,57
180,Emin7,Emin,111
181,Amin,F,52
182,G,G,6
183,G,D,28
184,Dmin,Dmin,57
185,D,D,70
186,D,Emin,46
187,Amin,Amin,50
188,C,C,20
189,C,C,4
190,Emin,C,8
191,Csadd9,Eadd9,5
192,D,D,17
193,Bb7,Bbmin,13
194,G,D,28
195,F,F,76
196,Amin7,G,19
197,Gsmin,E,9
198,A,A,50
199,E,D,9
200,A,E,85
201,G,G,29
202,G,C,23
203,A,A,28
204,Bmin,Dmin,20
